,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Value For Money,Wifi & Connectivity,Recommended
0,Boeing 777,Couple Leisure,Business Class,Barbados to London Heathrow,2022-12-01 00:00:00,1.0,1.0,1.0,1.0,1.0,1,0.0,no
1,Boeing 777-200,Solo Leisure,Economy Class,Doha to  Gatwick,2022-11-01 00:00:00,2.0,5.0,4.0,4.0,3.0,5,0.0,yes
2,A320,Business,Business Class,Glasgow to London,2022-12-01 00:00:00,5.0,5.0,3.0,3.0,5.0,3,3.0,no
3,Boeing 777,Couple Leisure,Premium Economy,London to Boston,2022-12-01 00:00:00,3.0,4.0,3.0,0.0,3.0,3,0.0,yes
4,A320,Solo Leisure,Business Class,London to Prague,2022-11-01 00:00:00,2.0,1.0,1.0,0.0,2.0,1,0.0,no
5,None,Business,Business Class,London to Larnaca,2022-12-01 00:00:00,1.0,0.0,0.0,0.0,2.0,3,0.0,no
6,None,Family Leisure,Economy Class,Cairo to London,2022-12-01 00:00:00,3.0,2.0,1.0,0.0,3.0,2,0.0,no
7,Boeing 787-9,Business,Economy Class,Denver to London,2022-12-01 00:00:00,1.0,1.0,1.0,3.0,1.0,1,0.0,no
8,A320,Solo Leisure,Business Class,London to Marrakech,2022-06-01 00:00:00,3.0,5.0,5.0,0.0,4.0,3,0.0,yes
9,A380,Solo Leisure,Economy Class,San Francisco to London,2022-11-01 00:00:00,2.0,1.0,2.0,2.0,3.0,2,1.0,no
10,A320,Solo Leisure,Business Class,London to Lisbon,2022-11-01 00:00:00,3.0,4.0,4.0,0.0,3.0,3,0.0,yes
11,Boeing 787 / A320,Solo Leisure,Economy Class,Montreal to Edinburgh via London Heathrow,2022-01-01 00:00:00,4.0,4.0,4.0,4.0,4.0,4,0.0,yes
12,None,Solo Leisure,Economy Class,Miami to Budapest via London,2022-11-01 00:00:00,2.0,3.0,3.0,4.0,1.0,1,0.0,no
13,None,Solo Leisure,Premium Economy,Amman Jordan to London UK (Heathrow),2022-11-01 00:00:00,3.0,2.0,1.0,0.0,4.0,2,0.0,no
14,None,Solo Leisure,Economy Class,Dusseldorf to London via Los Angeles,2022-08-01 00:00:00,1.0,1.0,1.0,1.0,1.0,1,1.0,no
15,Boeing 777,Solo Leisure,Business Class,London to Cape Town,2022-11-01 00:00:00,4.0,2.0,1.0,4.0,1.0,1,0.0,no
16,None,Solo Leisure,Economy Class,Milan to Dallas via London ,2022-11-01 00:00:00,2.0,5.0,2.0,2.0,2.0,1,2.0,no
17,Boeing 787-8,Solo Leisure,Economy Class,Baltimore to London Heathrow,2022-11-01 00:00:00,1.0,3.0,3.0,1.0,2.0,3,0.0,yes
18,None,Couple Leisure,Business Class,Dubai to Belfast via London,2022-10-01 00:00:00,3.0,3.0,3.0,2.0,1.0,1,2.0,no
19,None,Couple Leisure,Economy Class,Dallas to Bologna via London,2022-07-01 00:00:00,5.0,5.0,0.0,0.0,1.0,1,0.0,no
20,None,Solo Leisure,Economy Class,San Francisco to London,2022-10-01 00:00:00,0.0,0.0,0.0,0.0,1.0,1,0.0,no
21,A320,Solo Leisure,Economy Class,London Heathrow to Gibraltar,2022-10-01 00:00:00,2.0,1.0,1.0,0.0,3.0,3,0.0,no
22,Boeing 777,Solo Leisure,Business Class,London Heathrow to Nairobi,2022-10-01 00:00:00,3.0,1.0,1.0,2.0,1.0,1,1.0,no
23,A350-1000,Solo Leisure,Business Class,London to Los Angeles,2022-10-01 00:00:00,5.0,4.0,5.0,5.0,3.0,5,5.0,yes
24,A320,Solo Leisure,Business Class,Copenhagen to Heathrow,2022-10-01 00:00:00,3.0,5.0,5.0,0.0,4.0,5,5.0,yes
25,A320,Family Leisure,Economy Class,Larnaca to London,2022-10-01 00:00:00,1.0,2.0,1.0,1.0,2.0,2,0.0,no
26,Boeing 787-10,Couple Leisure,Business Class,Atlanta to London,2022-10-01 00:00:00,5.0,4.0,4.0,5.0,5.0,4,5.0,yes
27,A380,Solo Leisure,Business Class,Madrid to San Francisco via London,2022-09-01 00:00:00,3.0,1.0,1.0,4.0,3.0,1,0.0,no
28,A380,Solo Leisure,Economy Class,London to Washington,2022-10-01 00:00:00,3.0,5.0,5.0,3.0,2.0,5,0.0,yes
29,A380,Couple Leisure,Economy Class,London to San Francisco,2022-10-01 00:00:00,1.0,1.0,3.0,3.0,1.0,1,5.0,no
30,None,Solo Leisure,Economy Class,London to Delhi,2022-10-01 00:00:00,2.0,2.0,1.0,3.0,4.0,1,0.0,no
31,Boeing 777-300,Couple Leisure,Economy Class,London to Los Angeles,2022-10-01 00:00:00,3.0,4.0,3.0,4.0,4.0,4,0.0,yes
32,Boeing 777,Couple Leisure,Business Class,Miami to London Heathrow,2022-10-01 00:00:00,5.0,5.0,3.0,2.0,4.0,3,0.0,yes
33,A380,Solo Leisure,Business Class,Dubai to London,2022-10-01 00:00:00,4.0,4.0,4.0,2.0,4.0,3,2.0,yes
34,A320neo,Couple Leisure,Economy Class,London to Cairo,2022-10-01 00:00:00,1.0,1.0,1.0,0.0,4.0,1,1.0,no
35,Boeing 777,Solo Leisure,Business Class,Orlando to London Gatwick,2022-10-01 00:00:00,5.0,5.0,5.0,5.0,5.0,4,4.0,yes
36,A321neo,Business,Economy Class,London to Cairo,2022-10-01 00:00:00,2.0,4.0,1.0,0.0,3.0,1,2.0,no
37,A380,Couple Leisure,Economy Class,Dallas to London,2022-09-01 00:00:00,2.0,4.0,2.0,4.0,4.0,3,0.0,yes
38,A319,Couple Leisure,Business Class,Jersey to London Heathrow,2022-09-01 00:00:00,4.0,4.0,4.0,0.0,3.0,4,0.0,yes
39,A320,Couple Leisure,Business Class,London Heathrow to Jersey,2022-09-01 00:00:00,4.0,5.0,4.0,0.0,3.0,4,0.0,yes
40,A320-200,Solo Leisure,Business Class,Istanbul to London Heathrow,2022-09-01 00:00:00,1.0,3.0,2.0,1.0,3.0,2,0.0,no
41,Boeing 777-200,Solo Leisure,Business Class,London Heathrow to New York JFK,2022-09-01 00:00:00,5.0,4.0,4.0,4.0,5.0,5,0.0,yes
42,None,Business,Economy Class,Gothenburg to Jersey via London,2022-06-01 00:00:00,2.0,2.0,0.0,0.0,1.0,1,0.0,no
43,None,Solo Leisure,Premium Economy,Heathrow to Mexico City,2022-09-01 00:00:00,5.0,5.0,5.0,5.0,5.0,5,5.0,yes
44,None,Solo Leisure,Economy Class,London to Tampa,2022-09-01 00:00:00,5.0,5.0,5.0,5.0,5.0,5,5.0,yes
45,None,Solo Leisure,Economy Class,Sydney to London via Singapore,2022-09-01 00:00:00,1.0,3.0,2.0,5.0,4.0,2,5.0,yes
46,A320,Couple Leisure,Economy Class,London to Lisbon,2022-09-01 00:00:00,4.0,5.0,1.0,0.0,3.0,3,0.0,yes
47,None,Business,Business Class,London to Istanbul,2022-09-01 00:00:00,1.0,1.0,1.0,0.0,1.0,1,0.0,no
48,None,Couple Leisure,Economy Class,London to Manchester,2022-09-01 00:00:00,4.0,1.0,2.0,1.0,1.0,1,1.0,no
49,Boeing 777,Family Leisure,Economy Class,London to Rome,2022-08-01 00:00:00,4.0,4.0,3.0,0.0,1.0,2,0.0,no
50,None,Couple Leisure,Business Class,London Gatwick to Malaga,2022-09-01 00:00:00,3.0,5.0,5.0,1.0,4.0,3,1.0,yes
