X,Toy Story (1995),Heat (1995),"Usual Suspects, The (1995)",Clerks (1994),Pulp Fiction (1994),Forrest Gump (1994),"Mask, The (1994)",Jurassic Park (1993),Schindler's List (1993),Dances with Wolves (1990),"Silence of the Lambs, The (1991)",Fargo (1996),"Rock, The (1996)",Independence Day (a.k.a. ID4) (1996),Willy Wonka & the Chocolate Factory (1971),Reservoir Dogs (1992),Star Wars: Episode V - The Empire Strikes Back (1980),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Apocalypse Now (1979),Goodfellas (1990),Full Metal Jacket (1987),Groundhog Day (1993),Austin Powers: International Man of Mystery (1997),"Big Lebowski, The (1998)",Indiana Jones and the Temple of Doom (1984),"Matrix, The (1999)",Ghostbusters (a.k.a. Ghost Busters) (1984),American Beauty (1999),Fight Club (1999),X-Men (2000),"Shawshank Redemption, The (1994)",Gladiator (2000),"Dark Knight, The (2008)",Inception (2010),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Seven (a.k.a. Se7en) (1995),Four Weddings and a Funeral (1994),"Fugitive, The (1993)",Sleepless in Seattle (1993),Aladdin (1992),Casablanca (1942),Monty Python and the Holy Grail (1975),Indiana Jones and the Last Crusade (1989),There's Something About Mary (1998),Austin Powers: The Spy Who Shagged Me (1999),"Sixth Sense, The (1999)","Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Babe (1995),Clueless (1995),Braveheart (1995),Ace Ventura: Pet Detective (1994),"Lion King, The (1994)",Batman (1989),GoldenEye (1995),Batman Forever (1995),Die Hard: With a Vengeance (1995),"Net, The (1995)",Waterworld (1995),Dumb & Dumber (Dumb and Dumber) (1994),Interview with the Vampire: The Vampire Chronicles (1994),Outbreak (1995),Stargate (1994),Clear and Present Danger (1994),Cliffhanger (1993),"Firm, The (1993)",Mrs. Doubtfire (1993),Terminator 2: Judgment Day (1991),Pretty Woman (1990),Ghost (1990),2001: A Space Odyssey (1968),"Terminator, The (1984)","Truman Show, The (1998)",Shrek (2001),Ocean's Eleven (2001),"Beautiful Mind, A (2001)",Spider-Man (2002),Minority Report (2002),"Lord of the Rings: The Two Towers, The (2002)",Pirates of the Caribbean: The Curse of the Black Pearl (2003),"Lord of the Rings: The Return of the King, The (2003)","Incredibles, The (2004)",Jumanji (1995),Apollo 13 (1995),Speed (1994),Back to the Future (1985),Batman Begins (2005),Up (2009),True Lies (1994),Star Wars: Episode VI - Return of the Jedi (1983),Titanic (1997),Saving Private Ryan (1998),Star Wars: Episode IV - A New Hope (1977),Alien (1979),Cast Away (2000),"Lord of the Rings: The Fellowship of the Ring, The (2001)",Kill Bill: Vol. 1 (2003),Blade Runner (1982),"Godfather, The (1972)","Princess Bride, The (1987)",Good Will Hunting (1997),"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Eternal Sunshine of the Spotless Mind (2004),WALL·E (2008),"Clockwork Orange, A (1971)","Shining, The (1980)",Taxi Driver (1976),Beauty and the Beast (1991),One Flew Over the Cuckoo's Nest (1975),"Fifth Element, The (1997)",American Pie (1999),"Monsters, Inc. (2001)","Bourne Identity, The (2002)",Harry Potter and the Chamber of Secrets (2002),Catch Me If You Can (2002),Kill Bill: Vol. 2 (2004),Star Trek: Generations (1994),Men in Black (a.k.a. MIB) (1997),Star Wars: Episode I - The Phantom Menace (1999),Léon: The Professional (a.k.a. The Professional) (Léon) (1994),V for Vendetta (2006),Donnie Darko (2001),Aliens (1986),"Godfather: Part II, The (1974)",Memento (2000),Twister (1996),American History X (1998),Die Hard (1988),Mission: Impossible (1996),Crimson Tide (1995),Trainspotting (1996),Home Alone (1990),Finding Nemo (2003),E.T. the Extra-Terrestrial (1982),"Departed, The (2006)",Ferris Bueller's Day Off (1986),"Breakfast Club, The (1985)"
user-1,4.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,-1,5.0,-1,-1,-1,5.0,-1,5.0,-1,-1,-1,5.0,5.0,-1,-1,-1,-1,-1,-1,-1,4.0,-1,-1,4.0,-1,-1,-1,-1,-1,5.0,-1,-1,3.0,4.0,-1,-1,3.0,-1,-1,-1,-1,5.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.0,-1,-1,-1,5.0,-1,4.0,5.0,4.0,-1,-1,-1,-1,-1,5.0,-1,-1,-1,-1,5.0,3.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.0,4.0,-1,-1,-1,-1,-1,-1,3.0,5.0,-1,3.0,-1,-1,-1,-1,5.0,-1,-1,-1
user-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.0,4.0,4.5,4.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.0,-1,-1,-1,4.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.0,-1,-1
user-3,-1,-1,-1,-1,-1,-1,-1,-1,0.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
user-4,-1,-1,-1,-1,1.0,-1,-1,-1,-1,-1,5.0,5.0,-1,-1,4.0,-1,5.0,3.0,-1,4.0,-1,4.0,4.0,4.0,-1,1.0,-1,5.0,2.0,-1,-1,-1,-1,-1,2.0,2.0,3.0,5.0,1.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.0,-1,-1,-1,-1,-1,-1,5.0,1.0,-1,-1,-1,-1,-1,-1,3.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.0,1.0,-1,-1,-1,-1,-1,2.0,-1,-1,-1,3.0,-1,-1,-1,-1,-1,-1,-1,4.0
user-5,4.0,-1,4.0,-1,5.0,-1,4.0,-1,5.0,5.0,-1,3.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.0,-1,-1,-1,-1,-1,2.0,4.0,-1,4.0,-1,-1,-1,-1,-1,-1,-1,-1,4.0,3.0,4.0,3.0,3.0,3.0,-1,3.0,-1,-1,-1,-1,3.0,-1,2.0,3.0,-1,-1,-1,3.0,3.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.0,-1,-1,-1,-1,2.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
user-6,-1,4.0,1.0,-1,2.0,5.0,4.0,5.0,3.0,5.0,4.0,3.0,-1,5.0,3.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.0,-1,-1,-1,4.0,4.0,3.0,5.0,3.0,5.0,-1,-1,-1,-1,-1,-1,-1,-1,4.0,-1,5.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,3.0,4.0,5.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.0,4.0,5.0,-1,-1,-1,4.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.0,-1,-1,-1,-1,-1,-1,-1,-1,4.0,-1,-1,3.0,-1,-1,-1,-1,-1,5.0,-1,-1,-1,3.0,-1,-1,-1,-1,-1,-1,-1
user-7,4.5,-1,4.5,-1,-1,5.0,-1,5.0,-1,-1,5.0,-1,-1,4.5,-1,-1,4.0,-1,4.0,-1,-1,-1,3.5,-1,-1,-1,-1,4.0,-1,3.5,-1,1.5,-1,-1,-1,-1,-1,-1,-1,3.0,-1,-1,-1,1.5,2.0,4.5,-1,4.0,-1,-1,-1,-1,-1,3.0,-1,-1,4.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.5,-1,2.0,4.0,5.0,3.0,4.0,4.0,4.5,3.5,4.0,4.5,4.5,4.0,4.0,-1,4.5,-1,5.0,2.0,-1,3.0,4.0,-1,-1,5.0,-1,-1,4.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.5,-1,-1,-1,4.0,-1,4.5,4.0,-1,-1,-1,1.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.0,-1,-1,-1,-1,-1,1.0,-1,-1
user-8,-1,-1,5.0,-1,4.0,3.0,3.0,4.0,5.0,5.0,4.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.0,-1,-1,-1,3.0,4.0,5.0,3.0,3.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.0,3.0,3.0,-1,5.0,3.0,2.0,2.0,-1,5.0,3.0,4.0,5.0,3.0,-1,-1,-1,4.0,2.0,-1,3.0,3.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.0,4.0,4.0,-1,-1,-1,5.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.0,-1,-1,-1,-1,-1
user-9,-1,-1,-1,4.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.0,5.0,-1,-1,-1,-1,-1,-1,5.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
user-10,-1,-1,-1,-1,1.0,3.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,-1,1.0,0.5,-1,-1,4.0,4.5,-1,-1,-1,-1,-1,-1,4.0,4.0,-1,-1,-1,-1,0.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.5,-1,-1,-1,-1,4.5,-1,4.0,-1,-1,4.0,-1,4.0,2.5,-1,-1,-1,-1,5.0,4.0,-1,-1,-1,-1,-1,-1,-1,4.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.5,-1,-1,-1,-1
